editorid,name
42289,"de Luze, Hervé"
42380,"de Oliveira, Manoel"
42482,"de Ruelle, Emile"
42580,"De Toth, Nicolas"
42694,"Dean, Angie (II)"
42748,"Dean, Rod"
42787,"Dearberg, Robert C."
42792,"Dearing, R.E."
43000,"Dedet, Yann"
43003,"Dedieu, Isabelle"
43005,"Dedieu, Nicole"
43036,"Deegen, Sandrine"
43063,"Deering, Joe"
43107,"DeGaetano, Alfred"
43165,"Deguchi, Keiko (I)"
43387,"del Rey, Pedro (I)"
43523,"Delattre, Chantal"
44223,"Denove, Russell"
44389,"Derocles, Thierry"
44393,"DeRonde, Bill"
44511,"Deseine, Valérie"
45027,"Di Ciaula, Pia"
45341,"Diaz, Jun (I)"
45634,"Dietrich, Ralph (I)"
45813,"DiMarco, Anthony (I)"
46156,"Diver, William"
46201,"Dixon, Humphrey"
46222,"Dixon, Paul (I)"
46606,"Dolan, Dennis"
46897,"Donatién, Osvaldo"
46999,"Donner, Clive"
47056,"Donsky, Seth Michael"
47193,"Dorn, Dody"
47205,"Dorney, Lisa"
47209,"Dornisch, William Paul"
47402,"Douglas, Everett (I)"
47673,"Doyle, Julian"
47702,"Dozo, Marie-Hélène"
48112,"Du Bois, Victor"
48128,"du Preez, Anton"
48145,"Du, Yuan"
48287,"Dubsikova, Vera"
48293,"Dubus, Marie-Sophie"
48359,"Ducsay, Bob"
48371,"Duddleston, Amy E."
48453,"Duffner, J. Patrick"
48469,"Duffy, John (II)"
48482,"Duffy, Robert (I)"
48788,"Dunham, Duwayne"
48916,"Dunning, John D."
49135,"Durham, Sarah (I)"
49262,"Duthie, Michael J."
49283,"Dutta, Dulal"
49410,"Dwyre, Roger"
49443,"Dyer, Gretchen"
49447,"Dyer, Julia"
49491,"Dysinger, Carol"
49537,"Dávalos, Raúl"
49746,"Earl, Christopher (I)"
49779,"Easley, Michael"
50007,"Eckelberry, Stephen"
50300,"Edwards, David (I)"
50392,"Edwards, Renee"
50497,"Egeland, Einar"
50572,"Ehlers, Corky"
50731,"Eisen, Robert S."
50771,"Eisenstein, Sergei M."
51085,"Eliopoulos, Nicholas"
51087,"Eliot, Michael"
51218,"Elliot, Michael (III)"
51248,"Elliott, Dick (II)"
51351,"Ellis, Michael (I)"
51356,"Ellis, Peter B."
51442,"Elmiger, Suzy"
51794,"Engelbrecht, Renée"
51921,"Ennals, William"
52316,"Ernst, Donald W."
52522,"Escudier, Harley"
52917,"Estrin, Robert"
53047,"Evan-Jones, Sim"
53086,"Evans, Brian (II)"
53163,"Evans, Kate (I)"
53727,"Fairservice, Don"
53834,"Falkenberg, Paul"
53926,"Fan, Kung-Wing"
53987,"Fano, Jacqueline"
54065,"Fardoulis, Monique"
54254,"Farr, Glenn"
54281,"Farrell, Dan (VI)"
54300,"Farrell, Neil (I)"
54337,"Farrugia, Colette"
54480,"Faure, John (I)"
54578,"Fazan, Adrienne"
54615,"Featherman, Gregg"
54734,"Fehr, Kaja"
54736,"Fehr, Rudi (I)"
54761,"Feiginova, Lyudmila"
54769,"Feil, Gerald"
54812,"Feitshans Jr., Fred R."
54857,"Feldman, Ettie M."
55042,"Fenn, Suzanne (I)"
55701,"Ferretti, Robert A."
55994,"Fields, Sam (I)"
55999,"Fields, Verna"
56045,"Figler, Chris"
56096,"Figueroa, Óscar"
56192,"Fillios, Danielle"
56229,"Finan, Tom"
56302,"Finfer, David"
56358,"Finkle, Claudia"
56372,"Finlay, Mary"
56375,"Finlayson, Elizabeth"
56447,"Finton, Greg"
56638,"Fisher Jr., Robert"
56687,"Fisher, Dick (I)"
56797,"Fisárek, Alois"
56934,"Fitzstephens, Jack"
56949,"Fjellvaer, Lillian"
56961,"Flack, Sarah (I)"
57020,"Flanagan, Peter Devaney"
57042,"Flannery, Patrick (I)"
57062,"Flaum, Erica"
57064,"Flaum, Seth"
57070,"Flaxman, Katie"
57215,"Fletcher, Nick (I)"
57225,"Fletcher, William (II)"
57231,"Flett, Al"
57249,"Flicker, William"
57682,"Foley, John M."
57688,"Foley, Pat (I)"
57695,"Foley, Sean (XI)"
57737,"Folsey Jr., George"
57827,"Font, Teresa (I)"
57972,"Ford, Jeffrey (I)"
58137,"Forner, Nancy"
58278,"Fortin, Dominique"
58289,"Fortini, Romana"
58411,"Foster, Ruth (I)"
58522,"Fowler Jr., Gene"
58541,"Fowler, Hugh S."
58556,"Fowler, Marjorie"
58868,"Francis, Robert (V)"
58875,"Francis-Bruce, Richard"
59045,"Frank, Peter C. (I)"
59281,"Fraticelli, Franco (I)"
59302,"Frazen, Robert"
59307,"Frazer, Lindsay (I)"
59344,"Freda, Bill"
59488,"Freeman, David (II)"
59504,"Freeman, Jeff (I)"
59550,"Freeman-Fox, Lois"
59652,"French, Eddie (II)"
59682,"Frend, Charles"
59731,"Freund, Jay"
59813,"Fricke, Ron (I)"
59854,"Friedkin, Jay"
59900,"Friedman, Gary (I)"
59901,"Friedman, Jeffrey (I)"
59914,"Friedman, Melinda"
59973,"Fries, Thomas (I)"
60006,"Frisa, James"
60206,"Fruchtman, Lisa"
60287,"Frías, Carmen"
60504,"Fuller, Brad (I)"
60599,"Funck, Hans (I)"
60721,"Furubrand, Christer"
60853,"G. del Amo, Pablo"
61486,"Galliéni, Dominique"
61549,"Galt, Nigel"
61647,"Gamble, Cynthia"
61648,"Gamble, David (I)"
61920,"Garber, Tony"
62579,"Garfield, David (I)"
62628,"Garland, Glenn"
62706,"Garrard, Helen"
62734,"Garrett, Stephen (II)"
62792,"Garrone, Mirco"
62805,"Garson, Arline"
62816,"Gartner, Sarah (I)"
62971,"Gast, Leon"
62980,"Gaster, Nicolas"
63256,"Gavrishkiv, Sergey"
63279,"Gay, Norman (I)"
63341,"Gazzara, Elizabeth (I)"
63406,"Gee, Christopher K."
63423,"Gee, Timothy"
63583,"Geller, Daniel (I)"
63662,"Gengenbach, Pål"
63723,"Gentner, Richard"
63785,"George, George W."
63878,"Geraghty, Naomi"
64073,"Gerstad, Harry W. (II)"
64195,"Ghaffari, Earl"
64454,"Gibbs, Antony"
64521,"Gibson, J. Kathleen"
64556,"Gibson, Robert (I)"
64623,"Gieth, Oliver"
64733,"Gilad, Nellie"
64767,"Gilbert, John (IX)"
64798,"Gilberti, Nina"
64898,"Gill, Scott J."
64971,"Gilliam, Vivien Hillgrove"
65052,"Gilmore, Stuart"
65072,"Gilroy, John (I)"
65221,"Giordano, Martine"
65487,"Gladwell, David"
65491,"Glagoleva, Nina"
65502,"Glanz, Sonja"
65565,"Glassman, Arnold"
65575,"Glatstein, Bert"
65649,"Glen, John (II)"
65722,"Glinka, Gunter"
65850,"Gobbett, A.R."
65883,"Godard, Jean-Luc"
65905,"Goddard, Daniel (I)"
66218,"Goldberg, Eve"
66261,"Goldblatt, Mark"
66282,"Golden, Robert (I)"
66300,"Goldenberg, William (I)"
66310,"Goldfield, Debra"
66315,"Goldfine, Dayna"
66367,"Goldman, Mia"
66456,"Goldstein, Roushell"
66466,"Goldstone, Duke"
66470,"Goldwasser, Ellen"
66659,"Gomez, Nick (I)"
66982,"González Sinde, Miguel"
67141,"Gonçalves, Affonso"
67228,"Goodhill, Dean (II)"
67238,"Goodkind, Saul A."
67263,"Goodman, Joel (I)"
67313,"Goodspeed, Margaret"
67411,"Gordean, William D."
67431,"Gordon, Barry Mark"
67516,"Gordon, Robert (II)"
67690,"Gosnell, Raja"
67780,"Gottlieb, Mallory"
67843,"Gould, Doug (I)"
67913,"Goursaud, Anne"
67916,"Gourson, Jeff"
68030,"Grace, Alison"
68093,"Graef, Susan"
68344,"Granger, Tracy"
68558,"Graves, Alex (I)"
68644,"Gray, Julia (I)"
68693,"Gray, William S."
68821,"Green, Bruce (I)"
68957,"Green, Paul (I)"
69018,"Greenaway, Peter"
69041,"Greenberg, Gerald B."
69063,"Greenbury, Christopher"
69073,"Greene, Danford B."
69308,"Gregory, Jon (II)"
69406,"Grenville, George"
69482,"Gribble, Bernard"
69574,"Griffin, Gary (II)"
69711,"Grigoriani, Guili"
69807,"Grinde, Garth"
69819,"Grinshpun, Olga"
69852,"Grissell, Wallace"
70011,"Gross, Charles (I)"
70014,"Gross, Daniel (II)"
70020,"Gross, Frank (I)"
70028,"Gross, Jim (II)"
70043,"Gross, Roland (I)"
70086,"Grossman, Marc (I)"
70155,"Grover, John (I)"
70782,"Guidice, Don"
70847,"Guillemot, Agnès"
71013,"Gullo, Jeff"
71310,"Guthridge, John D."
71317,"Guthrie, Sandy"
71462,"Gutowski, Joseph"
71523,"Guyot, Raymonde"
71697,"Gárdos, Éva"
71710,"Gédigier, François"
71966,"Haas, Belinda"
72084,"Hache, Joëlle"
72120,"Hackford, Taylor"
72133,"Hackney, John (I)"
72224,"Hadzihalilovic, Lucile"
72249,"Hafenrichter, Oswald"
72267,"Hafitz, Andrew"
72470,"Haigis, Jack"
72498,"Haines, Richard (III)"
72500,"Haines, Richard W."
72652,"Hales, Gordon"
72721,"Hall, Alex (XXIII)"
72809,"Hall, Ivan (I)"
72989,"Halliday, Donald"
73076,"Halsey, Colleen"
73077,"Halsey, Richard"
73151,"Hambling, Gerry"
73198,"Hamer, Robert"
73325,"Hamilton, Steve (IV)"
73332,"Hamilton, William (I)"
73427,"Hammond, A.C."
73446,"Hammouda, Karim"
73469,"Hampton, Janice"
73602,"Handal, Matthew A."
73627,"Handman, David"
73652,"Haneke, Thomas"
73682,"Hanke, Chris"
73687,"Hankins, David"
73706,"Hanley, Daniel P."
73766,"Hannemann, Walter"
73842,"Hansen, Ed (I)"
73959,"Hanson, Kim (II)"
74074,"Haratzis, Denise"
74335,"Harkema, Reginald"
74614,"Harris, Dorian"
74645,"Harris, Jack (I)"
74736,"Harris, Richard A."
74825,"Harrison, Greg (III)"
74853,"Harrison, Lindi"
74875,"Harrison, Rich (I)"
75148,"Hartzell, Duane"
75167,"Harvey, Anthony (II)"
75206,"Harvey, Marshall"
75403,"Hassandoost, Hassan"
75629,"Haugse, William"
75692,"Hautecoeur, Louisette"
75747,"Havlick, Gene"
75933,"Hayden, Greg"
75949,"Hayers, Sidney"
75965,"Hayes, Cliff"
76031,"Hayes, W. Donn"
76037,"Haygood, James"
76086,"Haynes, Todd"
76221,"Heal, Gareth"
76231,"Healey, Les"
